province,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nakhon Si Thammarat,48.34988786,49.40724127,50.43255367,52.35501442,54.24543416,58.63505287,63.02467158,64.69080423,69.65716117,69.7532842,73.79045178,76.83434797,79.2374239,81.64049984,84.13969881,83.11438641,84.46010894
Nakhon Sawan,46.55559116,47.29253444,48.02947773,49.85581544,51.68215316,53.86094201,56.00768984,57.89810958,61.96731817,61.67894905,65.71611663,69.36879205,71.73982698,74.30310798,76.89842999,75.26433835,76.57801987
Nonthaburi,59.98077539,60.62159564,61.26241589,63.3450817,65.45978853,69.36879205,73.30983659,75.20025633,81.92886895,80.71131048,83.21050945,89.39442486,89.746876,92.72669016,94.93752003,93.65587953,94.3607818
Narathiwat,46.97212432,47.83723166,48.73438001,50.01602051,51.32970202,54.82217238,58.31464274,60.39730855,66.86959308,64.97917334,69.27266902,73.14963153,74.14290292,76.61006088,81.09580263,80.99967959,79.97436719
Nan,43.31944889,43.86414611,44.44088433,46.42742711,48.44601089,50.56071772,52.67542454,54.56584428,61.58282602,62.22364627,63.8577379,66.86959308,70.39410445,72.8292214,73.82249279,74.6235181,74.97596924
Bungkan,,,,,,,,,,,,,70.29798142,70.5222685,73.47004165,73.98269785,74.33514899
Buri Ram,41.52515219,42.45434156,43.41557193,44.31272028,45.20986863,48.15764178,51.10541493,55.27074656,59.40403717,59.85261134,63.15283563,67.15796219,68.66388978,71.38737584,73.79045178,75.04005127,76.28965075
Pathum Thani,57.54565844,59.05158603,60.5254726,61.39057994,62.25568728,65.10733739,67.9589875,69.65716117,75.68087152,74.81576418,79.20538289,85.16501121,87.02338994,90.29157321,90.83627043,90.7721884,91.60525473
Prachuap Khiri Khan,57.00096123,58.09035566,59.17975008,60.68567767,62.19160525,65.52387055,68.88817687,69.56103813,74.8798462,75.1361743,77.79557834,80.80743351,83.88337071,84.33194489,86.73502083,84.90868311,86.51073374
Prachin Buri,55.27074656,55.84748478,56.42422301,57.99423262,59.53220122,63.44120474,67.38224928,67.63857738,73.30983659,73.82249279,78.27619353,80.48702339,82.02499199,84.81256008,85.77379045,86.19032361,88.49727651
Pattani,47.29253444,47.77314963,48.22172381,49.79173342,51.36174303,55.01441846,58.63505287,60.62159564,65.87632169,65.42774752,68.7279718,73.05350849,74.49535405,76.25760974,80.35885934,79.84620314,79.65395707
Phra Nakhon Si Ayutthaya,55.75136174,56.71259212,57.70586351,60.14098045,62.60813842,65.81223967,68.9842999,68.27939763,74.84780519,75.42454342,76.83434797,80.80743351,83.46683755,84.78051906,85.58154438,87.02338994,87.6962512
Phayao,45.11374559,45.85068888,46.61967318,48.47805191,50.33643063,53.60461391,56.90483819,59.88465236,63.72957385,63.98590195,68.53572573,72.95738545,74.8798462,79.04517783,79.55783403,79.78212112,79.2374239
Phangnga,47.51682153,48.99070811,50.43255367,52.35501442,54.30951618,58.31464274,62.3197693,64.81896828,69.43287408,68.79205383,72.73309837,78.56456264,79.87824415,82.40948414,83.46683755,84.17173983,85.00480615
Phattalung,50.81704582,51.61807113,52.41909644,55.04645947,57.70586351,61.83915412,65.97244473,67.79878244,75.36046139,74.68760013,77.85966037,83.3386735,86.09420058,88.36911246,89.87504005,89.13809676,91.31688561
Phichit,43.60781801,44.08843319,44.60108939,46.20314002,47.83723166,50.11214354,52.41909644,54.11727011,59.37199616,59.33995514,62.60813842,66.74142903,68.7279718,72.70105735,73.43800064,73.40595963,72.95738545
Phitsanulok,43.54373598,44.34476129,45.14578661,46.65171419,48.15764178,50.94520987,53.70073694,55.71932073,60.49343159,59.88465236,62.73630247,66.35693688,69.56103813,70.2659404,74.17494393,73.05350849,73.82249279
Phuket,53.47644986,54.95033643,56.42422301,58.41076578,60.39730855,64.40243512,68.40756168,72.86126242,78.59660365,83.75520666,86.31848766,92.66260814,95.41813521,96.1550785,95.99487344,99.2310157,96.53957065
Maha Sarakham,41.10861903,41.68535726,42.26209548,43.51169497,44.76129446,48.38192887,52.00256328,54.18135213,60.17302147,59.17975008,63.72957385,67.73470042,70.36206344,72.70105735,76.19352772,77.21884012,77.41108619
Mukdahan,42.64658763,43.22332586,43.80006408,45.33803268,46.87600128,50.49663569,54.08522909,56.29605896,62.19160525,62.99263057,67.25408523,70.04165332,72.47677027,75.96924063,77.60333227,78.78884973,78.91701378
Yasothon,41.30086511,42.48638257,43.67190003,44.56904838,45.46619673,49.08683114,52.70746556,55.33482858,60.71771868,61.48670298,64.75488625,69.240628,71.0349247,73.50208267,75.74495354,76.12944569,77.4431272
Yala,47.80519064,48.99070811,50.14418456,51.36174303,52.61134252,57.32137136,62.0634412,63.95386094,71.57962192,72.02819609,75.3925024,79.2374239,82.89009933,85.77379045,89.81095803,88.75360461,88.33707145
Roi Et,42.42230054,42.61454662,42.83883371,44.34476129,45.85068888,49.27907722,52.70746556,55.49503364,61.32649792,61.58282602,65.42774752,70.71451458,71.35533483,76.32169177,78.37231657,79.78212112,79.58987504
Ranong,50.40051266,51.39378404,52.38705543,54.46972124,56.55238706,60.30118552,64.04998398,65.3957065,71.90003204,72.89330343,76.96251202,82.66581224,85.51746235,86.60685678,88.17686639,88.49727651,90.54790131
Rayong,57.44953541,58.09035566,58.73117591,60.74975969,62.80038449,66.38897789,70.0096123,71.61166293,76.6741429,77.25088113,80.80743351,83.0823454,87.85645626,90.5158603,91.86158283,92.85485421,96.05895546
Ratchaburi,55.81544377,55.94360782,56.10381288,59.14770907,62.15956424,64.46651714,66.80551105,68.66388978,74.71964114,74.55943608,78.94905479,82.37744313,84.07561679,86.51073374,89.4905479,89.61871195,87.60012816
Lop Buri,55.36686959,56.29605896,57.25728933,58.69913489,60.14098045,63.82569689,67.54245434,68.79205383,73.8545338,73.24575457,77.6994553,82.5696892,84.620314,86.51073374,90.0032041,88.40115348,88.49727651
Lampang,45.17782762,46.01089394,46.87600128,48.73438001,50.59275873,53.50849087,56.45626402,59.08362704,64.69080423,64.30631208,67.09388017,72.25248318,73.66228773,75.96924063,78.14802948,78.05190644,78.85293175
Lamphun,45.75456584,46.58763217,47.38865748,49.47132329,51.52194809,54.98237744,58.41076578,60.5254726,65.58795258,64.91509132,68.15123358,73.14963153,76.48189683,78.75680872,81.99295098,81.44825376,80.93559756
Si Sa Ket,41.81352131,42.10189042,42.39025953,43.96026914,45.53027876,47.86927267,50.20826658,52.57930151,59.08362704,58.66709388,62.41589234,66.26081384,66.74142903,71.51553989,72.60493432,72.95738545,74.8798462
