Position,Track Name,Artist,Streams,ADMIN
8,Despacito (Featuring Daddy Yankee),Luis Fonsi,13318,Costa Rica
9,Otra Vez (feat. J Balvin),Zion & Lennox,11717,Costa Rica
10,Mi Gente,J Balvin,10894,Costa Rica
1,Despacito - Remix,Luis Fonsi,404431,Germany
2,OK,Robin Schulz,372507,Germany
3,Wild Thoughts,DJ Khaled,372236,Germany
4,Thunder,Imagine Dragons,370093,Germany
5,Mama,Jonas Blue,356609,Germany
6,2U (feat. Justin Bieber),David Guetta,334779,Germany
7,Unforgettable,French Montana,313237,Germany
8,Heute mit mir,Nimo,302649,Germany
9,Strip That Down,Liam Payne,291834,Germany
10,More Than You Know,Axwell /\ Ingrosso,288921,Germany
1,Me Rehúso,Danny Ocean,166406,Chile
2,Felices los 4,Maluma,161039,Chile
3,Escápate Conmigo,Wisin,148360,Chile
4,Ahora Dice,Chris Jeday,123162,Chile
5,Bonita,J Balvin,119588,Chile
6,Hey DJ,CNCO,104306,Chile
7,Mi Gente,J Balvin,101602,Chile
8,Sigo Extrañándote,J Balvin,97060,Chile
9,Shape of You,Ed Sheeran,92830,Chile
10,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,89822,Chile
1,Shape of You,Ed Sheeran,18007,Japan
2,I'm the One,DJ Khaled,15517,Japan
3,Feels,Calvin Harris,15028,Japan
4,2U (feat. Justin Bieber),David Guetta,14954,Japan
5,Despacito - Remix,Luis Fonsi,13818,Japan
6,Stay (with Alessia Cara),Zedd,12823,Japan
7,Wild Thoughts,DJ Khaled,11863,Japan
8,Slide,Calvin Harris,11502,Japan
9,Something Just Like This,The Chainsmokers,11221,Japan
10,Mama,Jonas Blue,10401,Japan
1,Paradinha,Anitta,432233,Brazil
2,Fazer Falta,Mc Livinho,389575,Brazil
3,K.O.,Pabllo Vittar,385362,Brazil
4,Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,332972,Brazil
5,Despacito - Remix,Luis Fonsi,312426,Brazil
6,Shape of You,Ed Sheeran,296985,Brazil
7,Hear Me Now,Alok,281168,Brazil
8,Vidinha de Balada - Ao Vivo,Henrique & Juliano,269513,Brazil
9,Never Let Me Go,Alok,264768,Brazil
10,Vai Embrazando,Mc Zaac,255292,Brazil
1,Me Rehúso,Danny Ocean,8940,Honduras
2,Felices los 4,Maluma,8033,Honduras
3,Escápate Conmigo,Wisin,7355,Honduras
4,Mi Gente,J Balvin,7217,Honduras
5,Ahora Dice,Chris Jeday,6539,Honduras
6,Bonita,J Balvin,5613,Honduras
7,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,5208,Honduras
8,Shape of You,Ed Sheeran,5183,Honduras
9,Sigo Extrañándote,J Balvin,4946,Honduras
10,Hey DJ,CNCO,4149,Honduras
1,Felices los 4,Maluma,11668,Guatemala
2,Me Rehúso,Danny Ocean,11587,Guatemala
3,Una Lady Como Tú,Manuel Turizo,11274,Guatemala
4,Escápate Conmigo,Wisin,10965,Guatemala
5,Mi Gente,J Balvin,9410,Guatemala
6,Ahora Dice,Chris Jeday,9091,Guatemala
7,Hey DJ,CNCO,7537,Guatemala
8,Otra Vez (feat. J Balvin),Zion & Lennox,6546,Guatemala
9,Sigo Extrañándote,J Balvin,6527,Guatemala
10,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,6348,Guatemala
1,Wild Thoughts,DJ Khaled,30800,Switzerland
2,Despacito - Remix,Luis Fonsi,29008,Switzerland
3,2U (feat. Justin Bieber),David Guetta,25209,Switzerland
4,Unforgettable,French Montana,24408,Switzerland
5,I'm the One,DJ Khaled,23110,Switzerland
6,Shape of You,Ed Sheeran,22904,Switzerland
7,Despacito (Featuring Daddy Yankee),Luis Fonsi,22632,Switzerland
8,Thunder,Imagine Dragons,21995,Switzerland
9,OK,Robin Schulz,21524,Switzerland
10,Mama,Jonas Blue,20155,Switzerland
1,Despacito - Remix,Luis Fonsi,11935,Hungary
2,Thunder,Imagine Dragons,9053,Hungary
3,Despacito (Featuring Daddy Yankee),Luis Fonsi,8796,Hungary
4,2U (feat. Justin Bieber),David Guetta,8639,Hungary
5,More Than You Know,Axwell /\ Ingrosso,8403,Hungary
6,Believer,Imagine Dragons,7987,Hungary
7,Shape of You,Ed Sheeran,7713,Hungary
8,There for You,Martin Garrix,6941,Hungary
9,Wild Thoughts,DJ Khaled,6789,Hungary
10,Mama,Jonas Blue,6672,Hungary
1,Despacito - Remix,Luis Fonsi,266878,Canada
2,Wild Thoughts,DJ Khaled,203840,Canada
3,I'm the One,DJ Khaled,179801,Canada
4,Unforgettable,French Montana,173207,Canada
5,Signs,Drake,162303,Canada
6,XO TOUR Llif3,Lil Uzi Vert,136153,Canada
7,HUMBLE.,Kendrick Lamar,135260,Canada
8,Feels,Calvin Harris,129656,Canada
9,Slide,Calvin Harris,121063,Canada
10,2U (feat. Justin Bieber),David Guetta,119320,Canada
1,Felices los 4,Maluma,86602,Peru
