name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Edwardian Condo Centrally Located,Mission,37.77017333,-122.4215716,Entire home/apt,240,3,0,,,1,0
Clean and Modern Mission Cottage,Mission,37.76025251,-122.4166307,Entire home/apt,206,3,123,3/5/17,3.16,1,55
Beautiful Mission Victorian Home,Mission,37.75104087,-122.4186658,Entire home/apt,575,4,7,2/20/17,0.18,1,12
Private room in top Edwardian Flat,Mission,37.76764528,-122.4239505,Private room,120,1,14,3/25/17,1.02,2,359
Heart of Mission District - Queen,Mission,37.75122694,-122.4183758,Private room,74,2,1,4/16/16,0.09,1,0
Luxury Streetside Apt Near Public Transportation,Mission,37.76667538,-122.4170325,Private room,105,2,36,3/29/17,5.14,3,331
Small Room steps from Valencia,Mission,37.76054446,-122.421676,Private room,59,2,110,3/22/17,4.37,2,267
Modern luxury; Noe Valley pvt flat,Mission,37.75110161,-122.4241432,Entire home/apt,150,30,6,1/31/17,0.15,1,282
Charming Private Studio in Mission,Mission,37.76045876,-122.4190438,Entire home/apt,149,5,78,3/11/17,2.13,1,92
Large room in Slick Victorian ,Mission,37.75311615,-122.4086315,Private room,100,4,0,,,1,0
BEDROOM-f (July 31--->),Mission,37.75731078,-122.4095373,Private room,75,1,19,10/25/16,0.4,4,246
Mission District Artsy 1 BDRM,Mission,37.75174324,-122.4162526,Entire home/apt,299,3,1,12/7/15,0.06,1,365
Mission/Castro one-bedroom suite,Mission,37.76777714,-122.4243382,Private room,68,4,160,3/15/17,3.4,1,189
Bright Basement Apartment UNFURNISHED,Mission,37.76121341,-122.4086907,Entire home/apt,99,2,0,,,2,6
Sunny Mission 2BD - Victorian house,Mission,37.75297177,-122.4128058,Entire home/apt,211,2,37,1/2/17,1.06,1,180
1-Br Mission (Near Dolores Park) - Holidays,Mission,37.75833813,-122.4229128,Entire home/apt,125,2,7,3/6/17,2.19,1,3
Cozy Full Apart with parking,Mission,37.76040329,-122.415501,Entire home/apt,85,10,4,10/29/15,0.15,1,0
SUNNY ROOM/PRIVATE BATH/LIVINGROOM!,Mission,37.75753955,-122.4106128,Private room,97,3,33,3/9/17,0.84,1,72
Private Garden Artist Space,Mission,37.75271742,-122.4093401,Private room,117,3,234,3/22/17,3.38,1,21
Lovely Place!,Mission,37.76059363,-122.4185532,Entire home/apt,500,1,0,,,1,0
Spacious room near Valencia St,Mission,37.74851144,-122.4172331,Private room,65,2,1,2/15/16,0.07,1,0
"Sunny&Quiet 2BDR loft, Top location",Mission,37.75842278,-122.4119598,Entire home/apt,318,3,7,10/7/16,0.36,1,74
Great room in the heart of Mission,Mission,37.75996482,-122.4179394,Private room,150,1,0,,,1,0
Private room in heart of Mission,Mission,37.76403193,-122.4248225,Private room,75,3,3,1/3/16,0.18,1,0
2 Lofted Beds in Community House!,Mission,37.74964663,-122.4175526,Private room,100,1,3,1/15/16,0.19,1,0
Chic Sunny Mission Apartment,Mission,37.76945631,-122.4227033,Entire home/apt,285,3,12,2/8/17,0.85,1,88
3 bedroom w Garden - Luxury Mission,Mission,37.7682995,-122.4253431,Entire home/apt,375,3,0,,,1,0
Private Bedroom in Mission,Mission,37.7644722,-122.418478,Private room,89,3,2,9/30/15,0.1,1,0
Modern Private Room with Bath,Mission,37.76896906,-122.4108756,Private room,150,2,31,3/27/17,4.01,1,336
Beautiful and spacious house in the Mission,Mission,37.7594018,-122.4181344,Private room,125,1,0,,,1,44
Charming Apartment in the Mission District,Mission,37.75991582,-122.4191283,Private room,127,5,2,10/30/16,0.03,1,0
"Cozy Room for One or Two, Great Neighborhood",Mission,37.75446376,-122.4224758,Private room,75,3,46,3/26/17,1.21,2,181
