day,hour,value
19,1,
19,2,
19,3,
19,4,
19,5,
19,6,
19,7,
19,8,798
19,9,26488
19,10,63308
19,11,15828
19,12,53245
19,13,48691
19,14,133657
19,15,116206
19,16,63256
19,17,34437
19,18,72384
19,19,8685
19,20,57579
19,21,57151
19,22,56540
19,23,45814
19,24,13990
20,1,54130
20,2,53909
20,3,52781
20,4,40897
20,5,28295
20,6,43347
20,7,53739
20,8,51012
20,9,63172
20,10,20318
20,11,41141
20,12,54645
20,13,56694
20,14,55779
20,15,5995
20,16,55053
20,17,53322
20,18,54200
20,19,52628
20,20,48092
20,21,6120
20,22,59067
20,23,53815
20,24,54197
21,1,50493
21,2,6578
21,3,53434
21,4,47163
21,5,57830
21,6,54320
21,7,138777
21,8,106790
21,9,57833
21,10,38298
21,11,39921
21,12,59083
21,13,58660
21,14,45265
21,15,58346
21,16,16150
21,17,46239
21,18,96110
21,19,55114
21,20,52145
21,21,27469
21,22,66744
21,23,66769
21,24,52479
22,1,10573
22,2,64557
22,3,54602
22,4,31611
22,5,48574
22,6,43555
22,7,62047
22,8,53984
22,9,5568
22,10,59684
22,11,53315
22,12,57982
22,13,53028
22,14,35080
22,15,27566
22,16,60812
22,17,118495
22,18,102889
22,19,188661
22,20,79873
22,21,79477
22,22,71790
22,23,58382
22,24,16710
23,1,69559
23,2,68842
23,3,6544
23,4,71371
23,5,80756
23,6,5796
23,7,70979
23,8,71841
23,9,6445
23,10,70551
23,11,37210
23,12,38115
23,13,69386
23,14,5988
23,15,70021
23,16,66238
23,17,10285
23,18,70593
23,19,27377
23,20,49485
23,21,69673
23,22,6488
23,23,69135
23,24,54020
24,1,20330
24,2,67012
24,3,15257
24,4,59207
24,5,55801
24,6,49924
24,7,10201
24,8,185930
24,9,57663
24,10,59696
24,11,53548
24,12,52569
24,13,18729
24,14,43122
24,15,52613
24,16,54322
24,17,52186
24,18,46590
24,19,34258
24,20,30403
24,21,53262
24,22,53737
24,23,54271
24,24,21642
25,1,39259
25,2,52743
25,3,52653
25,4,57354
25,5,12822
25,6,43966
25,7,50772
25,8,50028
25,9,50199
25,10,37197
25,11,19091
25,12,52898
25,13,51358
25,14,51670
25,15,35794
25,16,
25,17,
25,18,20182
25,19,51182
25,20,52551
25,21,52811
25,22,22393
25,23,35763
25,24,51093
26,1,50616
26,2,134120
26,3,106108
26,4,38825
26,5,48903
26,6,63397
26,7,62006
26,8,31779
26,9,38270
26,10,63615
26,11,46270
26,12,25862
26,13,67378
26,14,46527
26,15,26796
26,16,67939
26,17,36775
26,18,36932
26,19,66146
26,20,62739
26,21,6023
26,22,66410
26,23,65683
26,24,7305
27,1,65604
27,2,48631
27,3,22783
27,4,62779
27,5,54865
27,6,44095
27,7,24704
27,8,18553
27,9,59604
27,10,110313
27,11,63580
27,12,56124
27,13,21590
27,14,54732
27,15,11768
27,16,85983
27,17,190116
27,18,52234
27,19,64543
27,20,14661
27,21,65933
27,22,18203
27,23,62239
27,24,63157
28,1,6629
28,2,70277
28,3,52683
28,4,37585
28,5,51916
28,6,33369
28,7,80626
28,8,6081
28,9,69522
28,10,46503
28,11,63739
28,12,17906
28,13,82138
28,14,43643
28,15,38870
28,16,95035
28,17,72914
28,18,29990
28,19,22766
28,20,80981
28,21,60357
28,22,6261
28,23,85221
28,24,59602
29,1,6622
29,2,82249
29,3,55763
29,4,6603
29,5,75956
29,6,179525
29,7,85876
29,8,71911
29,9,16171
29,10,72028
29,11,41887
29,12,46697
29,13,37362
29,14,50343
29,15,73911
29,16,68277
29,17,85926
29,18,58152
29,19,49834
29,20,45906
29,21,54001
29,22,65322
29,23,43945
29,24,38956
30,1,39210
30,2,40980
30,3,49282
30,4,58138
30,5,41901
30,6,39100
30,7,36982
30,8,36844
30,9,38682
30,10,55692
30,11,54113
30,12,37743
30,13,38725
30,14,38274
30,15,38078
30,16,46609
30,17,61615
30,18,62693
30,19,61172
30,20,172950
30,21,78357
30,22,57973
30,23,50570
30,24,43353
31,1,46479
31,2,48894
31,3,46826
31,4,46249
31,5,41240
31,6,47383
31,7,43527
31,8,39836
31,9,43127
31,10,40656
31,11,44114
31,12,42944
31,13,41394
31,14,42738
31,15,41264
31,16,38275
31,17,50762
31,18,67970
31,19,26780
31,20,67461
31,21,41013
31,22,41246
31,23,41086
31,24,61375
32,1,53829
32,2,40226
32,3,43574
32,4,39249
32,5,52112
32,6,63121
32,7,47200
32,8,43349
32,9,41525
32,10,41423
32,11,41429
32,12,42151
32,13,43840
32,14,192264
32,15,72702
32,16,60713
32,17,63560
32,18,49511
32,19,55078
32,20,48166
32,21,47472
32,22,47528
32,23,47993
32,24,46037
33,1,45276
33,2,44735
33,3,44657
33,4,43196
33,5,53318
33,6,44276
33,7,47463
33,8,42820
33,9,41754
33,10,49836
33,11,50688
33,12,46070
33,13,50092
33,14,46031
33,15,50424
33,16,24807
33,17,86395
33,18,65966
33,19,58429
33,20,57807
33,21,60842
33,22,55789
33,23,54273
33,24,27280
34,1,35544
34,2,52237
34,3,173096
34,4,83007
34,5,65328
34,6,58626
34,7,52483
34,8,42524
34,9,64895
34,10,55694
34,11,27861
34,12,35961
34,13,65540
34,14,51535
34,15,58467
34,16,56881
34,17,59129
34,18,67412
34,19,79600
34,20,42435
34,21,57266
34,22,58092
34,23,38430
34,24,71450
35,1,36630
35,2,42209
35,3,59159
35,4,38101
35,5,36932
35,6,39664
35,7,64930
35,8,63849
35,9,162559
35,10,87571
35,11,53396
35,12,198852
35,13,80787
35,14,83566
35,15,71154
35,16,82704
35,17,73030
35,18,7390
35,19,75921
35,20,184518
35,21,204278
35,22,69991
35,23,6560
35,24,6551
36,1,88785
36,2,65676
36,3,27179
36,4,42597
36,5,72895
36,6,68242
36,7,2367
36,8,2896
36,9,63918
36,10,67164
36,11,55305
36,12,8544
36,13,56820
36,14,57084
36,15,57675
36,16,109514
36,17,197051
36,18,38778
36,19,59973
36,20,6039
36,21,80261
36,22,68812
36,23,6549
36,24,70702
37,1,52777
37,2,22081
37,3,69782
37,4,30470
37,5,62631
37,6,58512
37,7,62677
37,8,59558
37,9,31302
37,10,35060
37,11,61329
37,12,19848
37,13,3195
