Position,Track,Artist,Streams,ADMIN
3,What Lovers Do (feat. SZA),Maroon 5,15950,Japan
4,????,DAOKO×????,15698,Japan
5,New Rules,Dua Lipa,13883,Japan
6,Havana,Camila Cabello,13301,Japan
7,How Long,Charlie Puth,13205,Japan
8,My Boo,Shota Shimizu,12915,Japan
9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,12794,Japan
10,?????,AAA,12704,Japan
1,Downtown,Anitta,533878,Brazil
2,Agora Vai Sentar,MC Jhowzinho e MC Kadinho,415236,Brazil
3,Amar Amei,Mc Don Juan,406642,Brazil
4,Deixa Ela Beijar,Matheus & Kauan,380220,Brazil
5,Permanecer,Lucas Lucco,374108,Brazil
6,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,361648,Brazil
7,Havana,Camila Cabello,335697,Brazil
8,New Rules,Dua Lipa,310456,Brazil
9,Deixe Me Ir - Acústico,1Kilo,292418,Brazil
10,Raspão - Ao Vivo,Henrique & Diego,273159,Brazil
1,Sensualidad,Bad Bunny,5926,Honduras
2,Criminal,Natti Natasha,4976,Honduras
3,Solo,El Nene La amenaza,4840,Honduras
4,Vuelve,Daddy Yankee,3786,Honduras
5,Se Preparó,Ozuna,3772,Honduras
6,Mayores,Becky G,3481,Honduras
7,Échame La Culpa,Luis Fonsi,3179,Honduras
8,Me Rehúso,Danny Ocean,3100,Honduras
9,Báilame - Remix,Nacho,2975,Honduras
10,Que Va,Alex Sensation,2904,Honduras
1,Sensualidad,Bad Bunny,12766,Guatemala
2,Criminal,Natti Natasha,12605,Guatemala
3,Se Preparó,Ozuna,11029,Guatemala
4,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,10982,Guatemala
5,Que Va,Alex Sensation,9683,Guatemala
6,Échame La Culpa,Luis Fonsi,9577,Guatemala
7,Mayores,Becky G,9225,Guatemala
8,Me Rehúso,Danny Ocean,9008,Guatemala
9,Vuelve,Daddy Yankee,8100,Guatemala
10,Suena El Dembow,Joey Montana,8036,Guatemala
1,rockstar,Post Malone,32864,Switzerland
2,Ave Maria,Kollegah,29187,Switzerland
3,Havana,Camila Cabello,27604,Switzerland
4,Rap wieder Rap,Kollegah,27109,Switzerland
5,Perfect,Ed Sheeran,23739,Switzerland
6,Es wird Zeit,Kollegah,23683,Switzerland
7,Was Du Liebe nennst,Bausa,23434,Switzerland
8,Échame La Culpa,Luis Fonsi,23358,Switzerland
9,Studiogangster,Kollegah,23117,Switzerland
10,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,22982,Switzerland
1,Havana,Camila Cabello,10454,Hungary
2,Wolves,Selena Gomez,9694,Hungary
3,rockstar,Post Malone,9393,Hungary
4,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,8838,Hungary
5,New Rules,Dua Lipa,8107,Hungary
6,Dusk Till Dawn - Radio Edit,ZAYN,7253,Hungary
7,What Lovers Do (feat. SZA),Maroon 5,7213,Hungary
8,Échame La Culpa,Luis Fonsi,6925,Hungary
9,Let You Down,NF,6854,Hungary
