Position,Track Name,Artist,Streams,ADMIN
8,TT - Japanese ver.,TWICE,11264,Japan
9,Wild Thoughts,DJ Khaled,9862,Japan
10,Something Just Like This,The Chainsmokers,9743,Japan
1,Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,632890,Brazil
2,K.O.,Pabllo Vittar,385962,Brazil
3,Fazer Falta,Mc Livinho,366170,Brazil
4,Paradinha,Anitta,358431,Brazil
5,Deixe Me Ir - Acústico,1Kilo,250855,Brazil
6,Shape of You,Ed Sheeran,250683,Brazil
7,Vidinha de Balada - Ao Vivo,Henrique & Juliano,250626,Brazil
8,Hear Me Now,Alok,240027,Brazil
9,Never Let Me Go,Alok,236361,Brazil
10,Cara Bacana,MC G15,234449,Brazil
1,Mi Gente,J Balvin,8493,Honduras
2,Me Rehúso,Danny Ocean,6727,Honduras
3,Escápate Conmigo,Wisin,5544,Honduras
4,Felices los 4,Maluma,5396,Honduras
5,Ahora Dice,Chris Jeday,4894,Honduras
6,Bonita,J Balvin,4877,Honduras
7,Una Lady Como Tú,Manuel Turizo,4654,Honduras
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,4030,Honduras
9,Shape of You,Ed Sheeran,3962,Honduras
10,Sigo Extrañándote,J Balvin,3368,Honduras
1,Mi Gente,J Balvin,13317,Guatemala
2,Una Lady Como Tú,Manuel Turizo,12049,Guatemala
3,Me Rehúso,Danny Ocean,10563,Guatemala
4,Escápate Conmigo,Wisin,10094,Guatemala
5,Felices los 4,Maluma,9164,Guatemala
6,Ahora Dice,Chris Jeday,8905,Guatemala
7,Bonita,J Balvin,7936,Guatemala
8,Tu Foto,Ozuna,6723,Guatemala
9,Hey DJ,CNCO,6673,Guatemala
10,Báilame,Nacho,6322,Guatemala
1,Mi Gente,J Balvin,28513,Switzerland
2,More Than You Know,Axwell /\ Ingrosso,22254,Switzerland
3,Unforgettable,French Montana,22235,Switzerland
4,Wild Thoughts,DJ Khaled,21209,Switzerland
5,Thunder,Imagine Dragons,21103,Switzerland
6,Mama,Jonas Blue,20995,Switzerland
7,2U (feat. Justin Bieber),David Guetta,19755,Switzerland
8,Despacito - Remix,Luis Fonsi,19415,Switzerland
9,OK,Robin Schulz,18089,Switzerland
10,Shape of You,Ed Sheeran,17641,Switzerland
1,More Than You Know,Axwell /\ Ingrosso,10749,Hungary
2,Mi Gente,J Balvin,9255,Hungary
3,Thunder,Imagine Dragons,9025,Hungary
4,2U (feat. Justin Bieber),David Guetta,8708,Hungary
5,Mama,Jonas Blue,8623,Hungary
6,Despacito - Remix,Luis Fonsi,7824,Hungary
7,OK,Robin Schulz,7813,Hungary
8,There's Nothing Holdin' Me Back,Shawn Mendes,7116,Hungary
9,Shape of You,Ed Sheeran,6991,Hungary
10,Believer,Imagine Dragons,6783,Hungary
1,Despacito - Remix,Luis Fonsi,197235,Canada
2,Unforgettable,French Montana,176649,Canada
3,Wild Thoughts,DJ Khaled,153009,Canada
4,I'm the One,DJ Khaled,141742,Canada
5,Feels,Calvin Harris,137601,Canada
6,Signs,Drake,137119,Canada
7,Mi Gente,J Balvin,132957,Canada
8,XO TOUR Llif3,Lil Uzi Vert,123945,Canada
9,Strip That Down,Liam Payne,116059,Canada
10,2U (feat. Justin Bieber),David Guetta,112717,Canada
1,Me Rehúso,Danny Ocean,81499,Peru
2,Mi Gente,J Balvin,78503,Peru
3,Felices los 4,Maluma,71660,Peru
4,Una Lady Como Tú,Manuel Turizo,66313,Peru
5,Escápate Conmigo,Wisin,62067,Peru
6,Ahora Dice,Chris Jeday,53329,Peru
7,Hey DJ,CNCO,49603,Peru
8,Báilame,Nacho,45614,Peru
9,Bonita,J Balvin,45404,Peru
10,Shape of You,Ed Sheeran,44288,Peru
1,Here With You,Lost Frequencies,30703,Belgium
2,Mi Gente,J Balvin,29986,Belgium
3,Mama,Jonas Blue,28395,Belgium
