Position,Track,Artist,Streams,ADMIN
2,Alone,Alan Walker,192026,Germany
3,Chöre,Mark Forster,181869,Germany
4,Starboy,The Weeknd,176328,Germany
5,Closer,The Chainsmokers,170745,Germany
6,Call On Me - Ryan Riback Extended Remix,Starley,168678,Germany
7,Bad Ideas,Alle Farben,165064,Germany
8,Ohne mein Team,Bonez MC,164441,Germany
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,163405,Germany
10,Shed a Light,Robin Schulz,153587,Germany
1,Chantaje,Shakira,136652,Chile
2,Otra Vez (feat. J Balvin),Zion & Lennox,108344,Chile
3,Vente Pa' Ca,Ricky Martin,105203,Chile
4,Reggaetón Lento (Bailemos),CNCO,97931,Chile
5,Safari,J Balvin,82663,Chile
6,Shaky Shaky,Daddy Yankee,81743,Chile
7,Andas En Mi Cabeza,Chino & Nacho,68556,Chile
8,Noche Loca,Marama,60649,Chile
9,Dile Que Tu Me Quieres,Ozuna,59274,Chile
10,Me Llamas (feat. Maluma) - Remix,Piso 21,58041,Chile
1,Closer,The Chainsmokers,6342,Japan
2,I Feel It Coming,The Weeknd,5697,Japan
3,Let Me Love You,DJ Snake,5149,Japan
4,24K Magic,Bruno Mars,4846,Japan
5,Don't Wanna Know,Maroon 5,4595,Japan
6,Starboy,The Weeknd,4440,Japan
7,Cold Water (feat. Justin Bieber & MØ),Major Lazer,4154,Japan
8,Wherever you are,ONE OK ROCK,4134,Japan
9,My Boo,Shota Shimizu,3857,Japan
10,Side To Side,Ariana Grande,3838,Japan
1,Deu Onda,MC G15,612271,Brazil
2,Hear Me Now,Alok,269574,Brazil
3,10% - Ao Vivo,Maiara & Maraisa,228307,Brazil
4,Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,217394,Brazil
5,Meu Coração Deu PT - Ao Vivo,Wesley Safadão,214171,Brazil
6,Medo Bobo - Ao Vivo,Maiara & Maraisa,209183,Brazil
7,Sim ou não (Participação especial Maluma),Anitta,192220,Brazil
8,Closer,The Chainsmokers,190936,Brazil
9,50 Reais,Naiara Azevedo,185333,Brazil
10,Infiel - Ao Vivo,Marília Mendonça,183344,Brazil
1,Otra Vez (feat. J Balvin),Zion & Lennox,6762,Honduras
2,Chantaje,Shakira,6467,Honduras
3,Safari,J Balvin,5951,Honduras
4,Reggaetón Lento (Bailemos),CNCO,5760,Honduras
5,Shaky Shaky,Daddy Yankee,5054,Honduras
6,Vente Pa' Ca,Ricky Martin,4823,Honduras
7,La Bicicleta,Carlos Vives,4631,Honduras
8,Closer,The Chainsmokers,4215,Honduras
9,Let Me Love You,DJ Snake,4207,Honduras
10,Dile Que Tu Me Quieres,Ozuna,4186,Honduras
1,Reggaetón Lento (Bailemos),CNCO,9124,Guatemala
2,Otra Vez (feat. J Balvin),Zion & Lennox,8886,Guatemala
3,Chantaje,Shakira,8693,Guatemala
4,Safari,J Balvin,7482,Guatemala
5,Vente Pa' Ca,Ricky Martin,6503,Guatemala
6,Let Me Love You,DJ Snake,5401,Guatemala
7,La Bicicleta,Carlos Vives,5318,Guatemala
8,Ay Mi Dios,IAmChino,5178,Guatemala
9,Closer,The Chainsmokers,5044,Guatemala
10,Shaky Shaky,Daddy Yankee,4960,Guatemala
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,14352,Switzerland
2,Starboy,The Weeknd,14218,Switzerland
3,Let Me Love You,DJ Snake,13549,Switzerland
4,Closer,The Chainsmokers,12988,Switzerland
5,Say You Won't Let Go,James Arthur,11289,Switzerland
6,One Dance,Drake,11000,Switzerland
7,Call On Me - Ryan Riback Extended Remix,Starley,10730,Switzerland
8,Alone,Alan Walker,10249,Switzerland
9,I Feel It Coming,The Weeknd,10175,Switzerland
10,Don't Wanna Know,Maroon 5,10084,Switzerland
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,6263,Hungary
2,Starboy,The Weeknd,5158,Hungary
3,Closer,The Chainsmokers,5095,Hungary
4,Let Me Love You,DJ Snake,4956,Hungary
5,Don't Wanna Know,Maroon 5,3723,Hungary
6,Heathens,Twenty One Pilots,3698,Hungary
7,Cheap Thrills,Sia,3495,Hungary
8,In the Name of Love,Martin Garrix,3416,Hungary
9,Treat You Better,Shawn Mendes,3396,Hungary
10,Just Hold On,Steve Aoki,3385,Hungary
1,Starboy,The Weeknd,139175,Canada
2,Closer,The Chainsmokers,128481,Canada
3,Fake Love,Drake,118532,Canada
