Position,Track,Artist,Streams,ADMIN
9,It Ain't Me (with Selena Gomez),Kygo,56414,Finland
10,Urheiluhullu,JVG,54738,Finland
1,It Ain't Me (with Selena Gomez),Kygo,162686,Norway
2,Shape of You,Ed Sheeran,152448,Norway
3,Symphony (feat. Zara Larsson),Clean Bandit,144845,Norway
4,Galway Girl,Ed Sheeran,119266,Norway
5,You Don't Know Me - Radio Edit,Jax Jones,113273,Norway
6,Issues,Julia Michaels,110610,Norway
7,Breathe,Astrid S,104910,Norway
8,Scared to Be Lonely,Martin Garrix,103993,Norway
9,Something Just Like This,The Chainsmokers,101603,Norway
10,Tuesday,Burak Yeter,100842,Norway
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,218926,Italy
2,Shape of You,Ed Sheeran,184255,Italy
3,SUBEME LA RADIO,Enrique Iglesias,128094,Italy
4,Something Just Like This,The Chainsmokers,121858,Italy
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,100429,Italy
6,Occidentali's Karma - Radio Edit,Francesco Gabbani,100410,Italy
7,It Ain't Me (with Selena Gomez),Kygo,94936,Italy
8,Believer,Imagine Dragons,92329,Italy
9,Bimbi,Charlie Charles,89253,Italy
10,You Don't Know Me - Radio Edit,Jax Jones,85797,Italy
1,Shape of You,Ed Sheeran,4558,Lithuania
2,Passionfruit,Drake,3724,Lithuania
3,It Ain't Me (with Selena Gomez),Kygo,3594,Lithuania
4,Something Just Like This,The Chainsmokers,3463,Lithuania
5,Stay (with Alessia Cara),Zedd,2984,Lithuania
6,Symphony (feat. Zara Larsson),Clean Bandit,2864,Lithuania
7,Paris,The Chainsmokers,2781,Lithuania
8,Issues,Julia Michaels,2733,Lithuania
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2509,Lithuania
10,Believer,Imagine Dragons,2508,Lithuania
1,Shape of You,Ed Sheeran,262704,Philippines
2,That's What I Like,Bruno Mars,225372,Philippines
3,Something Just Like This,The Chainsmokers,188659,Philippines
4,Versace On The Floor,Bruno Mars,180930,Philippines
5,Say You Won't Let Go,James Arthur,165343,Philippines
6,Stay (with Alessia Cara),Zedd,139066,Philippines
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,137972,Philippines
8,Paris,The Chainsmokers,127745,Philippines
9,"How Far I'll Go - From ""Moana""",Alessia Cara,125947,Philippines
10,It Ain't Me (with Selena Gomez),Kygo,122059,Philippines
1,Something Just Like This,The Chainsmokers,30741,Taiwan
2,Shape of You,Ed Sheeran,27220,Taiwan
3,Stay (with Alessia Cara),Zedd,21282,Taiwan
4,It Ain't Me (with Selena Gomez),Kygo,19627,Taiwan
5,Symphony (feat. Zara Larsson),Clean Bandit,19454,Taiwan
6,Paris,The Chainsmokers,17743,Taiwan
7,That's What I Like,Bruno Mars,16262,Taiwan
8,Scared to Be Lonely,Martin Garrix,15756,Taiwan
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,15674,Taiwan
10,Galway Girl,Ed Sheeran,13345,Taiwan
1,Shape of You,Ed Sheeran,53770,New Zealand
2,That's What I Like,Bruno Mars,39933,New Zealand
3,Passionfruit,Drake,39356,New Zealand
4,Galway Girl,Ed Sheeran,38280,New Zealand
5,Slide,Calvin Harris,33203,New Zealand
6,Stay (with Alessia Cara),Zedd,33192,New Zealand
7,It Ain't Me (with Selena Gomez),Kygo,32483,New Zealand
8,HUMBLE.,Kendrick Lamar,32443,New Zealand
9,Green Light,Lorde,30351,New Zealand
10,Something Just Like This,The Chainsmokers,29561,New Zealand
1,Shape of You,Ed Sheeran,4011,Estonia
2,It Ain't Me (with Selena Gomez),Kygo,2882,Estonia
3,Something Just Like This,The Chainsmokers,2802,Estonia
4,Passionfruit,Drake,2642,Estonia
5,Stay (with Alessia Cara),Zedd,2376,Estonia
6,Symphony (feat. Zara Larsson),Clean Bandit,2225,Estonia
7,Galway Girl,Ed Sheeran,2224,Estonia
8,Scared to Be Lonely,Martin Garrix,2177,Estonia
9,Paris,The Chainsmokers,2152,Estonia
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2062,Estonia
1,Shape of You,Ed Sheeran,83904,Turkey
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,47832,Turkey
3,Mi Gna (feat. Spitakci Hyko),Super Sako,35424,Turkey
4,It Ain't Me (with Selena Gomez),Kygo,34803,Turkey
5,Believer,Imagine Dragons,33430,Turkey
6,?hanetten Geri Kalan,Sezen Aksu,32943,Turkey
7,Passionfruit,Drake,32104,Turkey
8,Chained To The Rhythm,Katy Perry,28692,Turkey
9,Human,Rag'n'Bone Man,28383,Turkey
10,You Don't Know Me - Radio Edit,Jax Jones,27891,Turkey
1,HUMBLE.,Kendrick Lamar,1965405,United States
2,Mask Off,Future,1595319,United States
3,Passionfruit,Drake,1561782,United States
4,Shape of You,Ed Sheeran,1341730,United States
5,iSpy (feat. Lil Yachty),KYLE,1233355,United States
6,That's What I Like,Bruno Mars,1202223,United States
7,Portland,Drake,1174803,United States
8,Tunnel Vision,Kodak Black,1163558,United States
9,XO TOUR Llif3,Lil Uzi Vert,1027763,United States
10,Congratulations,Post Malone,912617,United States
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,9239,El Salvador
2,Me Rehúso,Danny Ocean,7930,El Salvador
3,Shape of You,Ed Sheeran,7140,El Salvador
4,El Amante,Nicky Jam,5496,El Salvador
5,Sigo Extrañándote,J Balvin,5430,El Salvador
6,Otra Vez (feat. J Balvin),Zion & Lennox,4566,El Salvador
7,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,4479,El Salvador
8,SUBEME LA RADIO,Enrique Iglesias,4421,El Salvador
9,Reggaetón Lento (Bailemos),CNCO,4145,El Salvador
10,La Rompe Corazones,Daddy Yankee,4019,El Salvador
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,38762,Costa Rica
2,Shape of You,Ed Sheeran,34138,Costa Rica
3,Me Rehúso,Danny Ocean,26118,Costa Rica
4,El Amante,Nicky Jam,19655,Costa Rica
5,Otra Vez (feat. J Balvin),Zion & Lennox,17956,Costa Rica
6,Reggaetón Lento (Bailemos),CNCO,17186,Costa Rica
7,SUBEME LA RADIO,Enrique Iglesias,14978,Costa Rica
8,Sigo Extrañándote,J Balvin,14028,Costa Rica
9,Chantaje,Shakira,13163,Costa Rica
10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,12750,Costa Rica
1,Shape of You,Ed Sheeran,503862,Germany
2,You Don't Know Me - Radio Edit,Jax Jones,378431,Germany
3,Tuesday,Burak Yeter,357987,Germany
4,It Ain't Me (with Selena Gomez),Kygo,356773,Germany
5,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,334758,Germany
6,Galway Girl,Ed Sheeran,321292,Germany
7,Something Just Like This,The Chainsmokers,320627,Germany
8,Nummer 1,Zuna,268367,Germany
9,Stay (with Alessia Cara),Zedd,256670,Germany
10,Scared to Be Lonely,Martin Garrix,245106,Germany
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,177252,Chile
2,Me Rehúso,Danny Ocean,147558,Chile
3,Shape of You,Ed Sheeran,125508,Chile
4,El Amante,Nicky Jam,124156,Chile
5,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,107769,Chile
6,Otra Vez (feat. J Balvin),Zion & Lennox,99453,Chile
7,Reggaetón Lento (Bailemos),CNCO,96469,Chile
8,La Rompe Corazones,Daddy Yankee,95182,Chile
9,SUBEME LA RADIO,Enrique Iglesias,94290,Chile
10,Te Quiero Pa´Mi,Don Omar,88528,Chile
1,Shape of You,Ed Sheeran,16096,Japan
2,Something Just Like This,The Chainsmokers,11692,Japan
3,Stay (with Alessia Cara),Zedd,10555,Japan
4,It Ain't Me (with Selena Gomez),Kygo,9815,Japan
5,That's What I Like,Bruno Mars,9659,Japan
6,Galway Girl,Ed Sheeran,9406,Japan
7,Paris,The Chainsmokers,9179,Japan
8,Closer,The Chainsmokers,8957,Japan
9,Passionfruit,Drake,8474,Japan
10,Slide,Calvin Harris,7831,Japan
1,Shape of You,Ed Sheeran,374618,Brazil
2,Você Partiu Meu Coração,Nego do Borel,350847,Brazil
3,Vai Embrazando,Mc Zaac,318572,Brazil
4,Hear Me Now,Alok,294216,Brazil
5,Loka,Simone & Simaria,275301,Brazil
6,O Grave Bater,MC Kevinho,273450,Brazil
7,Olha a Explosão,MC Kevinho,254061,Brazil
8,Vidinha de Balada - Ao Vivo,Henrique & Juliano,245493,Brazil
9,Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,244650,Brazil
10,Acordando o Prédio,Luan Santana,227902,Brazil
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,11294,Honduras
2,Me Rehúso,Danny Ocean,9175,Honduras
3,Shape of You,Ed Sheeran,9164,Honduras
4,Sigo Extrañándote,J Balvin,7108,Honduras
5,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,6852,Honduras
6,El Amante,Nicky Jam,6682,Honduras
7,Otra Vez (feat. J Balvin),Zion & Lennox,5801,Honduras
8,SUBEME LA RADIO,Enrique Iglesias,5572,Honduras
9,Reggaetón Lento (Bailemos),CNCO,5069,Honduras
10,Soy Peor,Bad Bunny,5026,Honduras
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,16046,Guatemala
2,Me Rehúso,Danny Ocean,13013,Guatemala
3,Sigo Extrañándote,J Balvin,10295,Guatemala
4,El Amante,Nicky Jam,10260,Guatemala
5,Shape of You,Ed Sheeran,9805,Guatemala
6,Otra Vez (feat. J Balvin),Zion & Lennox,9725,Guatemala
7,SUBEME LA RADIO,Enrique Iglesias,8962,Guatemala
8,Reggaetón Lento (Bailemos),CNCO,7577,Guatemala
9,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,7418,Guatemala
10,La Rompe Corazones,Daddy Yankee,6820,Guatemala
1,Shape of You,Ed Sheeran,46954,Switzerland
2,Despacito (Featuring Daddy Yankee),Luis Fonsi,32171,Switzerland
3,It Ain't Me (with Selena Gomez),Kygo,31509,Switzerland
4,Something Just Like This,The Chainsmokers,25606,Switzerland
5,Mask Off,Future,25325,Switzerland
6,Galway Girl,Ed Sheeran,24558,Switzerland
7,Passionfruit,Drake,23528,Switzerland
8,You Don't Know Me - Radio Edit,Jax Jones,21903,Switzerland
9,Stay (with Alessia Cara),Zedd,20710,Switzerland
10,Symphony (feat. Zara Larsson),Clean Bandit,19870,Switzerland
1,Shape of You,Ed Sheeran,15066,Hungary
2,It Ain't Me (with Selena Gomez),Kygo,11078,Hungary
3,Believer,Imagine Dragons,8347,Hungary
4,Something Just Like This,The Chainsmokers,8160,Hungary
5,Symphony (feat. Zara Larsson),Clean Bandit,7897,Hungary
6,Galway Girl,Ed Sheeran,7419,Hungary
7,Stay (with Alessia Cara),Zedd,7320,Hungary
8,Scared to Be Lonely,Martin Garrix,6711,Hungary
9,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,6299,Hungary
10,Paris,The Chainsmokers,6259,Hungary
1,Shape of You,Ed Sheeran,217526,Canada
2,Passionfruit,Drake,215916,Canada
3,HUMBLE.,Kendrick Lamar,191471,Canada
4,Mask Off,Future,158933,Canada
5,It Ain't Me (with Selena Gomez),Kygo,146807,Canada
6,Blem,Drake,135400,Canada
7,Portland,Drake,130894,Canada
8,That's What I Like,Bruno Mars,126302,Canada
9,Stay (with Alessia Cara),Zedd,126218,Canada
10,Something Just Like This,The Chainsmokers,119815,Canada
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,111133,Peru
2,Shape of You,Ed Sheeran,63238,Peru
3,El Amante,Nicky Jam,62273,Peru
4,Me Rehúso,Danny Ocean,58180,Peru
5,La Rompe Corazones,Daddy Yankee,48336,Peru
6,SUBEME LA RADIO,Enrique Iglesias,48284,Peru
7,Ay Mi Dios,IAmChino,47983,Peru
8,Reggaetón Lento (Bailemos),CNCO,47846,Peru
9,Otra Vez (feat. J Balvin),Zion & Lennox,47478,Peru
10,Chantaje,Shakira,46606,Peru
1,Shape of You,Ed Sheeran,53213,Belgium
2,It Ain't Me (with Selena Gomez),Kygo,32381,Belgium
3,You Don't Know Me - Radio Edit,Jax Jones,30156,Belgium
4,Something Just Like This,The Chainsmokers,29217,Belgium
5,Habiba,Boef,26744,Belgium
6,Passionfruit,Drake,25405,Belgium
7,That's What I Like,Bruno Mars,24566,Belgium
8,Weak,AJR,24491,Belgium
9,Stay (with Alessia Cara),Zedd,23765,Belgium
10,Paris,The Chainsmokers,22915,Belgium
1,Shape of You,Ed Sheeran,52139,Malaysia
2,Something Just Like This,The Chainsmokers,43188,Malaysia
3,That's What I Like,Bruno Mars,32505,Malaysia
4,It Ain't Me (with Selena Gomez),Kygo,30263,Malaysia
5,Stay (with Alessia Cara),Zedd,26741,Malaysia
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,26332,Malaysia
7,Paris,The Chainsmokers,25297,Malaysia
8,Say You Won't Let Go,James Arthur,24954,Malaysia
9,Scared to Be Lonely,Martin Garrix,24278,Malaysia
10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,22786,Malaysia
1,Shape of You,Ed Sheeran,127034,Denmark
2,De Snakker,NODE,109892,Denmark
3,Galway Girl,Ed Sheeran,107969,Denmark
4,Passionfruit,Drake,95484,Denmark
5,Issues,Julia Michaels,85316,Denmark
6,It Ain't Me (with Selena Gomez),Kygo,76599,Denmark
7,Castle on the Hill,Ed Sheeran,72488,Denmark
8,Slide,Calvin Harris,69785,Denmark
9,You Don't Know Me - Radio Edit,Jax Jones,68313,Denmark
10,Jeg Har En Pige,Skinz,67065,Denmark
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,10092,Bolivia
2,Me Rehúso,Danny Ocean,8467,Bolivia
3,Shape of You,Ed Sheeran,7170,Bolivia
4,El Amante,Nicky Jam,6239,Bolivia
5,SUBEME LA RADIO,Enrique Iglesias,5684,Bolivia
6,Otra Vez (feat. J Balvin),Zion & Lennox,5058,Bolivia
7,Reggaetón Lento (Bailemos),CNCO,4826,Bolivia
8,Sigo Extrañándote,J Balvin,4191,Bolivia
9,Me Llamas (feat. Maluma) - Remix,Piso 21,3938,Bolivia
10,Ay Mi Dios,IAmChino,3883,Bolivia
1,Shape of You,Ed Sheeran,73781,Poland
2,It Ain't Me (with Selena Gomez),Kygo,46297,Poland
3,Something Just Like This,The Chainsmokers,39764,Poland
4,Believer,Imagine Dragons,36084,Poland
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,34177,Poland
6,Galway Girl,Ed Sheeran,32852,Poland
7,Stay (with Alessia Cara),Zedd,32327,Poland
8,Symphony (feat. Zara Larsson),Clean Bandit,31330,Poland
9,Passionfruit,Drake,28983,Poland
10,You Don't Know Me - Radio Edit,Jax Jones,28922,Poland
1,Shape of You,Ed Sheeran,26820,Austria
2,It Ain't Me (with Selena Gomez),Kygo,21159,Austria
3,Something Just Like This,The Chainsmokers,19231,Austria
4,Tuesday,Burak Yeter,16876,Austria
5,Galway Girl,Ed Sheeran,16385,Austria
6,Stay (with Alessia Cara),Zedd,15822,Austria
7,Paris,The Chainsmokers,14959,Austria
8,You Don't Know Me - Radio Edit,Jax Jones,14734,Austria
9,Solo Dance,Martin Jensen,14665,Austria
10,Scared to Be Lonely,Martin Garrix,13483,Austria
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,43282,Portugal
2,Shape of You,Ed Sheeran,39325,Portugal
3,It Ain't Me (with Selena Gomez),Kygo,23085,Portugal
4,Something Just Like This,The Chainsmokers,23003,Portugal
5,Cold,Maroon 5,22237,Portugal
6,Passionfruit,Drake,21155,Portugal
7,Paris,The Chainsmokers,19121,Portugal
8,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18884,Portugal
9,Scared to Be Lonely,Martin Garrix,18738,Portugal
10,That's What I Like,Bruno Mars,18519,Portugal
1,Symphony (feat. Zara Larsson),Clean Bandit,346907,Sweden
2,Shape of You,Ed Sheeran,309708,Sweden
3,It Ain't Me (with Selena Gomez),Kygo,248775,Sweden
4,Galway Girl,Ed Sheeran,224416,Sweden
5,Something Just Like This,The Chainsmokers,199759,Sweden
6,Only You,Zara Larsson,192958,Sweden
7,Passionfruit,Drake,183414,Sweden
8,As I Lay Me Down,Wiktoria,178789,Sweden
9,You Don't Know Me - Radio Edit,Jax Jones,176667,Sweden
10,I Can´t Go On,Robin Bengtsson,170838,Sweden
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,635832,Mexico
2,Me Rehúso,Danny Ocean,485030,Mexico
3,Shape of You,Ed Sheeran,380601,Mexico
4,El Amante,Nicky Jam,347840,Mexico
5,SUBEME LA RADIO,Enrique Iglesias,310448,Mexico
6,Otra Vez (feat. J Balvin),Zion & Lennox,286451,Mexico
7,Chantaje,Shakira,271597,Mexico
8,Sigo Extrañándote,J Balvin,266711,Mexico
9,Reggaetón Lento (Bailemos),CNCO,266009,Mexico
10,Adiós Amor,Christian Nodal,260091,Mexico
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,11695,Panama
2,Shape of You,Ed Sheeran,9052,Panama
3,El Amante,Nicky Jam,8188,Panama
4,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,7302,Panama
5,SUBEME LA RADIO,Enrique Iglesias,6608,Panama
6,Me Rehúso,Danny Ocean,6501,Panama
7,Reggaetón Lento (Bailemos),CNCO,6476,Panama
8,Otra Vez (feat. J Balvin),Zion & Lennox,6265,Panama
9,Chantaje,Shakira,5373,Panama
10,Si Tu Novio Te Deja Sola,J Balvin,5195,Panama
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,18641,Uruguay
2,SUBEME LA RADIO,Enrique Iglesias,12419,Uruguay
3,Shape of You,Ed Sheeran,11669,Uruguay
4,El Amante,Nicky Jam,11654,Uruguay
5,La Rompe Corazones,Daddy Yankee,9647,Uruguay
6,Reggaetón Lento (Bailemos),CNCO,8765,Uruguay
7,Cuando Se Pone a Bailar,Rombai,8101,Uruguay
8,Otra Vez (feat. J Balvin),Zion & Lennox,8087,Uruguay
9,Chantaje,Shakira,7736,Uruguay
10,Me Llamas (feat. Maluma) - Remix,Piso 21,7154,Uruguay
1,Fullir Vasar,Aron Can,9818,Iceland
2,Shape of You,Ed Sheeran,6631,Iceland
3,Passionfruit,Drake,6591,Iceland
4,Neinei,Attan,6212,Iceland
5,Mask Off,Future,5814,Iceland
6,HUMBLE.,Kendrick Lamar,5166,Iceland
7,You Don't Know Me - Radio Edit,Jax Jones,4816,Iceland
8,It Ain't Me (with Selena Gomez),Kygo,4293,Iceland
9,Time,Sturla Atlas,3628,Iceland
10,Dimmalimm (feat. SZK),Rjóminn,3482,Iceland
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,443452,Spain
2,SUBEME LA RADIO,Enrique Iglesias,355996,Spain
3,Shape of You,Ed Sheeran,291420,Spain
4,El Amante,Nicky Jam,236825,Spain
5,Me Rehúso,Danny Ocean,219234,Spain
6,Lumbra,Cali Y El Dandee,193726,Spain
7,La Rompe Corazones,Daddy Yankee,193581,Spain
8,Reggaetón Lento (Bailemos),CNCO,182447,Spain
9,Chantaje,Shakira,181622,Spain
10,It Ain't Me (with Selena Gomez),Kygo,165080,Spain
1,Shape of You,Ed Sheeran,17285,Czech Republic
2,It Ain't Me (with Selena Gomez),Kygo,11078,Czech Republic
3,Something Just Like This,The Chainsmokers,10370,Czech Republic
4,Galway Girl,Ed Sheeran,9652,Czech Republic
5,Stay (with Alessia Cara),Zedd,8783,Czech Republic
6,Believer,Imagine Dragons,8517,Czech Republic
7,Symphony (feat. Zara Larsson),Clean Bandit,8378,Czech Republic
8,Paris,The Chainsmokers,8000,Czech Republic
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,7452,Czech Republic
10,Scared to Be Lonely,Martin Garrix,7164,Czech Republic
1,Galway Girl,Ed Sheeran,49578,Ireland
2,Shape of You,Ed Sheeran,45335,Ireland
3,Passionfruit,Drake,41286,Ireland
4,It Ain't Me (with Selena Gomez),Kygo,40288,Ireland
5,Symphony (feat. Zara Larsson),Clean Bandit,39351,Ireland
6,Something Just Like This,The Chainsmokers,35392,Ireland
7,You Don't Know Me - Radio Edit,Jax Jones,34270,Ireland
8,Stay (with Alessia Cara),Zedd,32075,Ireland
9,Solo Dance,Martin Jensen,31614,Ireland
10,Castle on the Hill,Ed Sheeran,29633,Ireland
1,Habiba,Boef,370916,Netherlands
2,Shape of You,Ed Sheeran,253631,Netherlands
3,It Ain't Me (with Selena Gomez),Kygo,194511,Netherlands
4,Slapend Rijk,Boef,190571,Netherlands
5,"Tempo (feat. Sevn Alias, Bko & Boef)",Jairzinho,182678,Netherlands
6,Salam,Boef,160936,Netherlands
7,Passionfruit,Drake,158521,Netherlands
8,Energie,Ronnie Flex,143462,Netherlands
9,Ik Ga Weg,Boef,143137,Netherlands
10,Something Just Like This,The Chainsmokers,141700,Netherlands
1,Shape of You,Ed Sheeran,5821,Slovakia
2,It Ain't Me (with Selena Gomez),Kygo,4207,Slovakia
3,Something Just Like This,The Chainsmokers,3678,Slovakia
4,Stay (with Alessia Cara),Zedd,3171,Slovakia
5,Symphony (feat. Zara Larsson),Clean Bandit,3156,Slovakia
6,Galway Girl,Ed Sheeran,3073,Slovakia
7,Believer,Imagine Dragons,2988,Slovakia
8,Paris,The Chainsmokers,2698,Slovakia
9,Passionfruit,Drake,2675,Slovakia
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2553,Slovakia
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,80902,Colombia
2,Shape of You,Ed Sheeran,62374,Colombia
3,El Amante,Nicky Jam,59402,Colombia
4,Me Rehúso,Danny Ocean,58461,Colombia
5,Otra Vez (feat. J Balvin),Zion & Lennox,43588,Colombia
6,Sigo Extrañándote,J Balvin,41882,Colombia
7,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,40579,Colombia
8,Reggaetón Lento (Bailemos),CNCO,38064,Colombia
9,SUBEME LA RADIO,Enrique Iglesias,36992,Colombia
10,Te Quiero Pa´Mi,Don Omar,36054,Colombia
1,Something Just Like This,The Chainsmokers,72023,Singapore
2,Shape of You,Ed Sheeran,62436,Singapore
3,That's What I Like,Bruno Mars,37084,Singapore
4,It Ain't Me (with Selena Gomez),Kygo,36615,Singapore
5,Stay (with Alessia Cara),Zedd,33273,Singapore
6,Paris,The Chainsmokers,29453,Singapore
7,Scared to Be Lonely,Martin Garrix,29042,Singapore
8,Symphony (feat. Zara Larsson),Clean Bandit,28987,Singapore
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,28444,Singapore
10,Galway Girl,Ed Sheeran,26437,Singapore
1,Something Just Like This,The Chainsmokers,83722,Indonesia
2,Shape of You,Ed Sheeran,82906,Indonesia
3,That's What I Like,Bruno Mars,72225,Indonesia
4,Stay (with Alessia Cara),Zedd,56296,Indonesia
5,Symphony (feat. Zara Larsson),Clean Bandit,55927,Indonesia
6,It Ain't Me (with Selena Gomez),Kygo,51532,Indonesia
7,Scared to Be Lonely,Martin Garrix,46055,Indonesia
8,Versace On The Floor,Bruno Mars,44652,Indonesia
9,Paris,The Chainsmokers,43211,Indonesia
10,Say You Won't Let Go,James Arthur,39717,Indonesia
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,13549,Dominican Republic
2,Ahora Dice,Chris Jeday,9714,Dominican Republic
3,Shape of You,Ed Sheeran,9220,Dominican Republic
4,El Amante,Nicky Jam,8314,Dominican Republic
5,Si Tu Novio Te Deja Sola,J Balvin,8310,Dominican Republic
6,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,7340,Dominican Republic
7,Caile (feat. Zion & De La Ghetto),Revol,6962,Dominican Republic
8,Soy Peor,Bad Bunny,6620,Dominican Republic
9,Otra Vez (feat. J Balvin),Zion & Lennox,6594,Dominican Republic
10,Passionfruit,Drake,6521,Dominican Republic
1,Shape of You,Ed Sheeran,3395,Luxembourg
2,It Ain't Me (with Selena Gomez),Kygo,2069,Luxembourg
3,Something Just Like This,The Chainsmokers,1871,Luxembourg
4,Mask Off,Future,1769,Luxembourg
5,Passionfruit,Drake,1753,Luxembourg
6,Despacito (Featuring Daddy Yankee),Luis Fonsi,1667,Luxembourg
7,Galway Girl,Ed Sheeran,1639,Luxembourg
8,Stay (with Alessia Cara),Zedd,1635,Luxembourg
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1449,Luxembourg
10,Paris,The Chainsmokers,1449,Luxembourg
1,Galway Girl,Ed Sheeran,635068,United Kingdom
2,Shape of You,Ed Sheeran,585204,United Kingdom
